identifier,name_infered_activity,family,genus,species,evolutionary_order,cystein_group,major_group,zhang_subfamily,zhang_toxinType,zhang_conformation,ritu_class,activity,receptor,groups,representative
None|Phci_6|Phascolarctos cinereus,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,,,,,,,,
None|Anca_7|Anolis carolinensis,,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Bmul_scaffold7_G00718_t1|Bungarus multicinctus,,Elapidae,Bungarus,Bungarus multicinctus,,,3FTX,Aminergic,cardiotoxin,short chain,,,,,
TR|D5J9P0|Bungarus flaviceps,,Elapidae,Bungarus,Bungarus flaviceps,,,,,,,,,,,
TR|D5J9P6|Bungarus flaviceps,,Elapidae,Bungarus,Bungarus flaviceps,,,,,,,,,,,
TR|D5J9P3|Bungarus flaviceps,,Elapidae,Bungarus,Bungarus flaviceps,,,,,,,,,,,
TR|D5J9Q1|Bungarus flaviceps,,Elapidae,Bungarus,Bungarus flaviceps,,,,,,,,,,,
TR|A0A898IJN7|Calliophis bivirgatus,,Elapidae,Calliophis,Calliophis bivirgatus,3.0,Basal,3FTx,,,,,,,,
None|Phci_7|Phascolarctos cinereus,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,,,,,,,,
None|Oran6|Ornithorhynchus anatinus,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,,,,,,,,
None|Povi_9|Pogona vitticeps,,Agamidae,Pogona,Pogona vitticeps,1.0,Ly-6,Ly-6,,,,,,,,
None|Alsi_6|Alligator sinensis,,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Anca_10|Anolis carolinensis,,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,,,,,,,,
TR|A0A0B8RYY0|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RVB9|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RSZ0|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A7X3S8|Telescopus dhara,,Colubridae,Telescopus,Telescopus dhara,3.0,Basal,3FTx,,,,,,,,
TR|A7X3S5|Telescopus dhara,,Colubridae,Telescopus,Telescopus dhara,6.0,Weird,3FTx,,,,,,,,
NCBI|BOIDE_GGUB01000001.1_1_252|Boiga dendrophila,,Colubridae,Boiga,Boiga dendrophila,,,,,,,,,,,
NCBI|Boiga_dendrophila_dendrophila_GGUB01000001|Boiga dendrophila dendrophila,,Colubridae,Boiga,Boiga dendrophila dendrophila,3.0,Basal,3FTx,,,,,,,,
TR|A0A481MQJ6|Boiga dendrophila,,Colubridae,Boiga,Boiga dendrophila,6.0,Weird,3FTx,,,,,,,,
TR|A0A0B8RYX5|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RS42|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RVB7|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RVB2|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RZX5|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,6.0,Weird,3FTx,,,,,,,,
TR|A0A0B8RSZ1|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RZX8|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RYY5|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RS45|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RZX0|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RS43|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RZX6|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RYY3|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RS19|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RSY0|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RS22|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RVA5|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
NCBI|Boiga_dendrophila_dendrophila_GGUB01000024|Boiga dendrophila dendrophila,,Colubridae,Boiga,Boiga dendrophila dendrophila,3.0,Basal,3FTx,,,,,,,,
TR|A0A6G1S2M3|Boiga nigriceps,,Colubridae,Boiga,Boiga nigriceps,3.0,Basal,3FTx,,,,,,,,
TR|A0A481MQK7|Boiga dendrophila,,Colubridae,Boiga,Boiga dendrophila,3.0,Basal,3FTx,,,,,,,,
TR|A0A481MQL7|Boiga dendrophila,,Colubridae,Boiga,Boiga dendrophila,3.0,Basal,3FTx,,,,,,,,
NCBI|Boiga_dendrophila_dendrophila_GGUB01000002|Boiga dendrophila dendrophila,,Colubridae,Boiga,Boiga dendrophila dendrophila,6.0,Weird,3FTx,,,,,,,,
TR|A0A0B8RYX1|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RS37|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RSY6|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RSZ3|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RYY9|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RVC5|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RS48|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RYW2|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A193CHL4|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RZW9|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A6G1S2M9|Boiga nigriceps,,Colubridae,Boiga,Boiga nigriceps,3.0,Basal,3FTx,,,,,,,,
TR|A0A193CHL9|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A193CHL6|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
NCBI|Boiga_irregularis_Brisbane_GGUD01000007|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A0B8RZY0|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A193CHL5|Ahaetulla prasina,,Colubridae,Ahaetulla,Ahaetulla prasina,3.0,Basal,3FTx,,,,,,,,
NCBI|Boiga_trigonata_GGUG01000005|Boiga trigonata,,Colubridae,Boiga,Boiga trigonata,3.0,Basal,3FTx,,,,,,,,
TR|A0A193CHL8|Boiga nigriceps,,Colubridae,Boiga,Boiga nigriceps,3.0,Basal,3FTx,,,,,,,,
NCBI|THAEL_XM_032222342.1_49_258|Thamnophis elegans,,Colubridae,Thamnophis,Thamnophis elegans,,,,,,,,,,,
NCBI|THAEL_XM_032222341.1_64_258|Thamnophis elegans,,Colubridae,Thamnophis,Thamnophis elegans,,,,,,,,,,,
NCBI|Tele_rna_XM_032222338_1|Thamnophis elegans,,Colubridae,Thamnophis,Thamnophis elegans,,,,,,,,,,,
NCBI|Tele_rna_XM_032222340_1|Thamnophis elegans,,Colubridae,Thamnophis,Thamnophis elegans,,,,,,,,,,,
TR|A7X3U7|Thrasops jacksonii,,Colubridae,Thrasops,Thrasops jacksonii,3.0,Basal,3FTx,,,,,,,,
NCBI|RHASU_OL439262.1_1_264|Rhabdophis subminiatus,,Colubridae,Rhabdophis,Rhabdophis subminiatus,,,,,,,,,,,
NCBI|RHASU_OL439258.1_1_255|Rhabdophis subminiatus,,Colubridae,Rhabdophis,Rhabdophis subminiatus,,,,,,,,,,,
SP|A7X6I4|Thrasops jacksonii,3FTx,Colubridae,Thrasops,Thrasops jacksonii,6.0,Weird,3FTx,,,,,,,,
SP|A7X3S0|Trimorphodon biscutatus,3FTx,Colubridae,Trimorphodon,Trimorphodon biscutatus,3.0,Basal,3FTx,,,,,,,,
TR|A7X3U0|Dispholidus typus,,Colubridae,Dispholidus,Dispholidus typus,3.0,Basal,3FTx,,,,,,,,
TR|A7X3T2|Dispholidus typus,,Colubridae,Dispholidus,Dispholidus typus,3.0,Basal,3FTx,,,,,,,,
TR|A0A193CHM5|Trimorphodon lambda,,Colubridae,Trimorphodon,Trimorphodon lambda,3.0,Basal,3FTx,,,,,,,,
SP|A7X3S2|Trimorphodon biscutatus,3FTx,Colubridae,Trimorphodon,Trimorphodon biscutatus,6.0,Weird,3FTx,,,,,,,,
SP|A7X3V0|Telescopus dhara,3FTx,Colubridae,Telescopus,Telescopus dhara,3.0,Basal,3FTx,,,,,,,,
NCBI|RHASU_OL439257.1_1_264|Rhabdophis subminiatus,,Colubridae,Rhabdophis,Rhabdophis subminiatus,,,,,,,,,,,
NCBI|RHASU_OL439263.1_1_264|Rhabdophis subminiatus,,Colubridae,Rhabdophis,Rhabdophis subminiatus,,,,,,,,,,,
TR|A0A481MQP4|Boiga dendrophila,,Colubridae,Boiga,Boiga dendrophila,3.0,Basal,3FTx,,,,,,,,
TR|A7X3N6|Telescopus dhara,,Colubridae,Telescopus,Telescopus dhara,6.0,Weird,3FTx,,,,,,,,
TR|A0A481MQM5|Boiga cynodon,,Colubridae,Boiga,Boiga cynodon,6.0,Weird,3FTx,,,,,,,,
NCBI|BOITR_GGUG01000006.1_1_318|Boiga trigonata,,Colubridae,Boiga,Boiga trigonata,,,,,,,,,,,
TR|A0A193CHL1|Boiga cynodon,,Colubridae,Boiga,Boiga cynodon,3.0,Basal,3FTx,,,,,,,,
NCBI|Boiga_irregularis_Brisbane_GGUD01000001|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
TR|A0A193CHL3|Ahaetulla prasina,,Colubridae,Ahaetulla,Ahaetulla prasina,6.0,Weird,3FTx,,,,,,,,
TR|A7X3Q4|Dispholidus typus,,Colubridae,Dispholidus,Dispholidus typus,6.0,Weird,3FTx,,,,,,,,
NCBI|PROMU_XM_015823118.1_1_216|Protobothrops mucrosquamatus,,Viperidae,Protobothrops,Protobothrops mucrosquamatus,,,,,,,,,,,
None|Prmu_3|Protobothrops mucrosquamatus,,Viperidae,Protobothrops,Protobothrops mucrosquamatus,6.0,snake genomic,snake genomic,,,,,,,,
NCBI|RHASU_OL439261.1_52_276|Rhabdophis subminiatus,,Colubridae,Rhabdophis,Rhabdophis subminiatus,,,,,,,,,,,
TR|A7X3T6|Thrasops jacksonii,,Colubridae,Thrasops,Thrasops jacksonii,3.0,Basal,3FTx,,,,,,,,
NCBI|RHASU_OL439256.1_49_252|Rhabdophis subminiatus,,Colubridae,Rhabdophis,Rhabdophis subminiatus,,,,,,,,,,,
NCBI|Boiga_irregularis_Sulawesi_GGUE01000001|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,6.0,Weird,3FTx,,,,,,,,
TR|A0A6G1S2N1|Boiga nigriceps,,Colubridae,Boiga,Boiga nigriceps,6.0,Weird,3FTx,,,,,,,,
NCBI|Boiga_irregularis_Brisbane_GGUD01000006|Boiga irregularis,,Colubridae,Boiga,Boiga irregularis,6.0,Weird,3FTx,,,,,,,,
SP|A0S865|Boiga irregularis,Irditoxin,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
SP|Q06ZW0|Boiga dendrophila,,Colubridae,Boiga,Boiga dendrophila,3.0,Basal,3FTx,,,,,,,,
SP|A0S864|Boiga irregularis,Irditoxin,Colubridae,Boiga,Boiga irregularis,3.0,Basal,3FTx,,,,,,,,
NCBI|Boiga_dendrophila_dendrophila_GGUB01000025|Boiga dendrophila dendrophila,,Colubridae,Boiga,Boiga dendrophila dendrophila,3.0,Basal,3FTx,,,,,,,,
NCBI|Boiga_dendrophila_dendrophila_GGUB01000005|Boiga dendrophila dendrophila,,Colubridae,Boiga,Boiga dendrophila dendrophila,3.0,Basal,3FTx,,,,,,,,
