mapped_id,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study,x,y,z
AHF,Toxin 3FTxLei1 ,3FTx,Leioheterodon madagascariensis ,Pseudoxyrhophiidae,10.716742,4.306417,5.75425
AHG,Short neurotoxin D ,3FTx,Laticauda colubrina ,Elapidae,10.466307,1.015471,-0.85911447
AHH,Short neurotoxin II ,3FTx,Laticauda colubrina ,Elapidae,10.431894,0.7939278,-0.92974955
AHI,Short neurotoxin C ,3FTx,Laticauda colubrina ,Elapidae,10.236607,0.74155027,-1.056056
AHJ,Short neurotoxin OKIEd ,3FTx,Laticauda semifasciata ,Elapidae,10.585851,1.1542107,-0.9118869
AHK,Short neurotoxin C ,3FTx,Laticauda crockeri ,Elapidae,10.443513,1.2679865,-0.78704154
AHL,Short neurotoxin C ,3FTx,Laticauda laticaudata ,Elapidae,10.470525,1.1832528,-0.74733716
AHM,Short neurotoxin VAN10 ,3FTx,Laticauda laticaudata ,Elapidae,10.476747,0.872476,-1.0023144
AHN,Short neurotoxin VAN29 ,3FTx,Laticauda laticaudata ,Elapidae,10.508751,0.96575296,-0.89871585
AHO,Short neurotoxin B ,3FTx,Laticauda laticaudata ,Elapidae,10.56789,0.86399955,-0.94077367
AHP,Short neurotoxin B ,3FTx,Laticauda crockeri ,Elapidae,10.745835,1.0153099,-0.87960184
AHQ,-,Ly-6,Chelonia mydas,Testudines,0.6951188,9.217897,-2.048956
AHR,Short neurotoxin A ,3FTx,Laticauda crockeri ,Elapidae,10.690259,1.0036682,-0.76856637
AHS,Short neurotoxin OKI17/NCA06 ,3FTx,Laticauda laticaudata ,Elapidae,10.622023,1.168792,-0.73702395
AHT,Short neurotoxin OKI01/OKI19 ,3FTx,Laticauda laticaudata ,Elapidae,10.524395,1.0172261,-0.98394495
AHU,Short neurotoxin 4 ,3FTx,Naja annulifera ,Elapidae,9.831247,1.0279909,0.9022723
AHV,Short neurotoxin 3 ,3FTx,Naja annulifera ,Elapidae,9.855281,0.9288246,0.8797307
AHW,Threefinger toxin Mnn I ,3FTx,Micrurus nigrocinctus ,Elapidae,9.13541,0.8321017,0.019822441
AHX,Three finger toxin MALT0057C ,3FTx,Micrurus altirostris ,Elapidae,9.439511,-0.033949196,-0.5489825
AHY,Threefinger toxin A1 ,3FTx,Micrurus laticollaris ,Elapidae,8.880422,0.84995204,0.12058482
AHZ,Short neurotoxin D1 ,3FTx,Micrurus pyrrhocryptus ,Elapidae,8.926489,0.6602319,0.036455
AIA,Three finger toxin MALT0051C ,3FTx,Micrurus altirostris ,Elapidae,8.677604,0.85648364,-0.04900641
AIB,-,Ly-6,Chelonia mydas,Testudines,0.5493557,9.141932,-2.0889943
AIC,Threefinger toxin MS1 ,3FTx,Micrurus surinamensis ,Elapidae,8.823308,1.0513426,0.14481908
AID,Threefinger toxin WIII ,3FTx,Walterinnesia aegyptia ,Elapidae,10.015635,0.6539388,-0.78201526
AIE,Short neurotoxin 1 ,3FTx,Naja annulata annulata ,Elapidae,9.58648,0.98662406,-0.106727354
AIF,Threefinger toxin WIV ,3FTx,Walterinnesia aegyptia ,Elapidae,9.876239,0.5002815,-0.37902242
AIG,Short neurotoxin 3 ,3FTx,Naja mossambica ,Elapidae,9.692871,-0.047455125,-0.37382022
AIH,Short neurotoxin 2 ,3FTx,Hemachatus haemachatus ,Elapidae,9.579804,0.34419274,-0.5336935
AII,Short neurotoxin 1 ,3FTx,Naja mossambica ,Elapidae,9.679472,-0.26992777,-0.48831937
AIJ,Cobrotoxin II ,3FTx,Naja kaouthia ,Elapidae,9.450299,-0.3756327,-0.24203596
AIK,Short neurotoxin 1 ,3FTx,Naja kaouthia ,Elapidae,9.386277,-0.13021946,-0.071644686
AIL,Cobrotoxin ,3FTx,Naja atra ,Elapidae,9.503571,-0.36127597,-0.2329001
AIM,-,snake genomic,Naja naja,Elapidae,-0.8035778,9.130387,-2.2988055
AIN,Neurotoxin 3 ,3FTx,Naja sputatrix ,Elapidae,9.312336,-0.20487796,-0.37633812
AIO,Alphaneurotoxin NTX4 ,3FTx,Naja sputatrix ,Elapidae,9.613028,-0.23605849,-0.08855336
AIP,Alphaneurotoxin NTX2 ,3FTx,Naja sputatrix ,Elapidae,9.541919,-0.039250158,0.07140233
AIQ,Alphaneurotoxin NTX1 ,3FTx,Naja sputatrix ,Elapidae,9.497522,-0.2674596,0.031867906
AIR,Alphaneurotoxin NTX3 ,3FTx,Naja sputatrix ,Elapidae,9.539161,-0.12566291,-0.1695497
AIS,Short neurotoxin 2 ,3FTx,Naja haje haje ,Elapidae,9.668335,1.0930642,0.20709412
AIT,Short neurotoxin 2 ,3FTx,Naja nivea ,Elapidae,9.71314,1.0050068,0.3187705
AIU,Short neurotoxin 2 ,3FTx,Naja annulifera ,Elapidae,9.470404,0.94407296,0.27553618
AIV,Short neurotoxin 1 ,3FTx,Naja christyi ,Elapidae,9.0387125,0.59658754,-0.4152973
AIW,Short neurotoxin 1 ,3FTx,Hemachatus haemachatus ,Elapidae,9.507637,0.52591926,-0.32898957
AIX,-,snake genomic,Pseudonaja textilis,Elapidae,-0.8981042,9.062071,-2.1664615
AIY,Short neurotoxin 1 ,3FTx,Naja annulifera ,Elapidae,9.533465,0.6314337,-0.48128328
AIZ,Short neurotoxin 1 ,3FTx,Naja pallida ,Elapidae,9.184471,0.88568115,-0.17377116
AJA,Short neurotoxin 1 ,3FTx,Naja melanoleuca ,Elapidae,9.195127,0.8238993,-0.35933056
AJB,Cobrotoxinb ,3FTx,Naja atra ,Elapidae,9.438099,0.33290347,-0.041894358
AJC,Cobrotoxinb ,3FTx,Naja kaouthia ,Elapidae,9.946005,0.3337895,-0.19716884
AJD,Cobrotoxinc ,3FTx,Naja kaouthia ,Elapidae,9.77868,0.43519753,0.024810601
AJE,Short neurotoxin 1 ,3FTx,Naja philippinensis ,Elapidae,9.720097,0.6276751,0.11887401
AJF,Neurotoxin 5 ,3FTx,Naja sputatrix ,Elapidae,9.428469,0.56277585,-0.048555005
AJG,Mipartoxin3 ,3FTx,Micrurus mipartitus ,Elapidae,10.576964,-0.88369054,3.469868
AJH,Short neurotoxin MS11 ,3FTx,Micrurus surinamensis ,Elapidae,11.380026,-0.6917709,3.778418
AJI,-,Ly-6,Varanus komodoensis,Anguimorpha,-0.4325993,9.027848,-2.110477
AJJ,Threefinger toxin A2 ,3FTx,Micrurus laticollaris ,Elapidae,11.32101,-0.9543217,3.9467223
AJK,Threefinger toxin MALT0063C ,3FTx,Micrurus altirostris ,Elapidae,11.023865,-1.0456247,3.650092
AJL,Threefinger toxin MALT0059C ,3FTx,Micrurus altirostris ,Elapidae,11.498146,-0.6938081,3.1520407
AJM,Frontoxin II ,3FTx,Micrurus frontalis ,Elapidae,11.484666,-1.0273024,3.249904
AJN,Threefinger toxin 3FTx1 ,3FTx,Micrurus corallinus ,Elapidae,11.33803,-1.4678594,3.186503
AJO,Threefinger toxin 3b ,3FTx,Micrurus fulvius ,Elapidae,11.188781,-1.7430265,3.1580505
AJP,Mipartoxin1 ,3FTx,Micrurus mipartitus ,Elapidae,11.603898,-0.57665306,3.3329737
AJQ,Mipartoxin1A ,3FTx,Micrurus mipartitus ,Elapidae,11.609317,-0.70113254,3.2024324
AJR,Mipartoxin2 ,3FTx,Micrurus mipartitus ,Elapidae,11.335389,-0.7022746,2.9839516
AJS,Threefinger toxin 3FTxOxy6 ,3FTx,Oxyuranus microlepidotus ,Elapidae,10.906212,-0.27395326,2.6482286
AJT,-,Ly-6,Anolis carolinensis,Dactyloidae,-0.20737322,9.042767,-2.2027972
AJU,DeltaelapitoxinCb1a ,3FTx,Calliophis bivirgatus ,Elapidae,10.710513,-0.24803337,5.8467803
AJV,Frontoxin III ,3FTx,Micrurus frontalis ,Elapidae,9.927591,1.2533506,1.5061643
AJW,Synergistictype venom protein S2C4 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae,11.012592,2.9745836,2.8982918
AJX,Synergistictype venom protein C8S2,3FTx,Dendroaspis angusticeps ,Elapidae,10.935169,2.8682327,2.8803456
AJY,Synergistictype venom protein C9S3,3FTx,Dendroaspis angusticeps ,Elapidae,10.839873,2.7213817,2.7453964
AJZ,Synergisticlike venom protein ,3FTx,Dendroaspis angusticeps ,Elapidae,10.945328,2.918722,2.933037
AKA,Synergistictype venom protein C9S3,3FTx,Dendroaspis angusticeps ,Elapidae,11.022478,2.9903498,2.8862398
AKB,Synergistictype venom protein C8S2,3FTx,Dendroaspis angusticeps ,Elapidae,10.78629,2.9480064,3.0964034
AKC,Short neurotoxin OH35 ,3FTx,Ophiophagus hannah ,Elapidae,10.297705,2.272852,3.3847404
AKD,Muscarinic toxin 2 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.60891,2.4737473,3.1482086
AKE,-,Ly-6,Pogona vitticeps,Agamidae,-0.017155832,8.847669,-2.1938612
AKF,Muscarinic m1toxin2 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.206527,2.4167137,3.2859988
AKG,Muscarinic toxin 7 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.181909,2.303183,3.213272
AKH,Muscarinic toxinlike protein TxNM32 ,3FTx,Naja melanoleuca ,Elapidae,10.510423,2.8179047,3.5979862
AKI,Muscarinic toxinlike protein 2 ,3FTx,Naja kaouthia ,Elapidae,10.530848,2.6036022,3.549583
AKJ,Muscarinic toxin alpha ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.6901045,2.456699,3.5613327
AKK,Muscarinic toxin 1 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.648214,2.2118714,3.7444482
AKL,Muscarinic toxin 4 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.393699,2.1979256,3.7323246
AKM,RhoelapitoxinDa1b ,3FTx,Dendroaspis angusticeps ,Elapidae,10.648797,2.653778,3.7091055
AKN,Muscarinic toxin 3 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.345124,2.4225128,3.352528
AKO,Adrenergic toxin rhoelapitoxinDp1b ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.369179,2.5250704,3.4092453
AKP,-,Ly-6,Alligator sinensis,Crocodilia,9.850997,7.3525467,7.4965725
AKQ,Toxin AdTx1 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.380973,2.626886,3.4610963
AKR,Adrenergic toxin rhoelapitoxinDp1a ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.396356,2.6618965,3.5324466
AKS,Mambalgin3 ,3FTx,Dendroaspis angusticeps ,Elapidae,10.517818,-0.45524338,3.0821607
AKT,Mambalgin1 ,3FTx,Dendroaspis polylepis polylepis ,Elapidae,10.556268,-0.6622084,3.091083
