mapped_id,original_id,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
ABD,Ahaetulla_prasina_A0A193CHL3,-,3FTx,Ahaetulla prasina ,Colubridae
ABE,Ahaetulla_prasina_A0A346CLY7,-,3FTx,Ahaetulla prasina ,Colubridae
ABF,Spilotes_sulphureus_A0A346CI88,-,3FTx,Spilotes sulphureus ,Colubridae
ABG,Trimorphodon_biscutatus_A7X3Q9,-,3FTx,Trimorphodon biscutatus ,Colubridae
ABH,Thrasops_jacksonii_A7X6I4,-,3FTx,Thrasops jacksonii ,Colubridae
ABI,Rhabdophis_subminiatus_unigene497406,-,3FTx,Rhabdophis subminiatus ,Colubridae
ABJ,Thelotornis_mossambicanus_3FTx_03,-,3FTx,Thelotornis mossambicanus ,Colubridae
ABK,Dispholidus_typus_A7X6J0,-,3FTx,Dispholidus typus ,Colubridae
ABL,Thelotornis_mossambicanus_3FTx_00,-,3FTx,Thelotornis mossambicanus ,Colubridae
ABM,Thelotornis_mossambicanus_3FTx_04,-,3FTx,Thelotornis mossambicanus ,Colubridae
ABN,Hypsiglena_sp_A0A098M253,-,3FTx,Hypsiglena sp ,Colubridae
ABO,Dispholidus_typus_A7X3Q4,-,3FTx,Dispholidus typus ,Colubridae
ABP,Thelotornis_mossambicanus_3FTx_01,-,3FTx,Thelotornis mossambicanus ,Colubridae
ABQ,Spilotes_sulphureus_A0A346CI89,-,3FTx,Spilotes sulphureus ,Colubridae
ABR,Boiga_trigonata_GGUG01000004,-,3FTx,Boiga trigonata ,Colubridae
ABS,Boiga_irregularis_Sulawesi_GGUE01000001,-,3FTx,Boiga irregularis ,Colubridae
ABT,Heterodon_nasicus_unigene2480,-,3FTx,Heterodon nasicus ,Colubridae
ABU,Heterodon_nasicus_unigene384518,-,3FTx,Heterodon nasicus ,Colubridae
ABV,Erythrolamprus_poecilogyrus_A7X3P2,-,3FTx,Erythrolamprus poecilogyrus ,Colubridae
ABW,Erythrolamprus_poecilogyrus_A7X3P8,-,3FTx,Erythrolamprus poecilogyrus ,Colubridae
ABX,Helicops_leopardinus_unigene312780,-,3FTx,Helicops leopardinus ,Colubridae
ABY,Helicops_leopardinus_unigene57119,-,3FTx,Helicops leopardinus ,Colubridae
ABZ,Helicops_leopardinus_unigene312792,-,3FTx,Helicops leopardinus ,Colubridae
ACA,Helicops_leopardinus_unigene1409,-,3FTx,Helicops leopardinus ,Colubridae
ACB,Helicops_leopardinus_unigene488904,-,3FTx,Helicops leopardinus ,Colubridae
ACC,Phalotris_mertensi_A0A182C5Y1,-,3FTx,Phalotris mertensi ,Colubridae
ACD,Phalotris_mertensi_A0A182C5S7,-,3FTx,Phalotris mertensi ,Colubridae
ACE,Helicops_leopardinus_unigene490899,-,3FTx,Helicops leopardinus ,Colubridae
ACF,Helicops_leopardinus_unigene488093,-,3FTx,Helicops leopardinus ,Colubridae
ACG,Helicops_leopardinus_unigene312779,-,3FTx,Helicops leopardinus ,Colubridae
ACH,Helicops_leopardinus_unigene312798,-,3FTx,Helicops leopardinus ,Colubridae
ACI,Helicops_leopardinus_unigene312793,-,3FTx,Helicops leopardinus ,Colubridae
ACJ,Rhabdophis_subminiatus_unigene52075,-,3FTx,Rhabdophis subminiatus ,Colubridae
ACK,Walterinnesia_aegyptia_C1IC49,-,3FTx,Walterinnesia aegyptia ,Elapidae
ACL,Bungarus_candidus_Q6IZ95,-,3FTx,Bungarus candidus ,Elapidae
ACM,Bungarus_flaviceps_D5J9Q0,-,3FTx,Bungarus flaviceps ,Elapidae
ACN,Bungarus_fasciatus_A2CKF6,-,3FTx,Bungarus fasciatus ,Elapidae
ACO,Bungarus_candidus_Q8AY49,-,3FTx,Bungarus candidus ,Elapidae
ACP,Bungarus_candidus_Q8AY50,-,3FTx,Bungarus candidus ,Elapidae
ACQ,Bungarus_candidus_Q8AY51,-,3FTx,Bungarus candidus ,Elapidae
ACR,Ophiophagus_hannah_Q2VBN2,-,3FTx,Ophiophagus hannah ,Elapidae
ACS,Naja_kaouthia_P82935,-,3FTx,Naja kaouthia ,Elapidae
ACT,Naja_atra_Q9YGI4,-,3FTx,Naja atra ,Elapidae
ACU,Naja_sputatrix_Q802B3,-,3FTx,Naja sputatrix ,Elapidae
ACV,Naja_atra_E2ITZ6,-,3FTx,Naja atra ,Elapidae
ACW,Naja_sputatrix_Q802B2,-,3FTx,Naja sputatrix ,Elapidae
ACX,Micrurus_corallinus_P58370,-,3FTx,Micrurus corallinus ,Elapidae
ACY,Bungarus_flaviceps_D5J9P8,-,3FTx,Bungarus flaviceps ,Elapidae
ACZ,Bungarus_candidus_P81783,-,3FTx,Bungarus candidus ,Elapidae
ADA,Bungarus_multicinctus_P15818,-,3FTx,Bungarus multicinctus ,Elapidae
ADB,Atractaspis_aterrima_GAME01026808,-,3FTx,Atractaspis aterrima ,Atractaspididae
ADC,Atractaspis_aterrima_GAMF01050194,-,3FTx,Atractaspis aterrima ,Atractaspididae
ADD,Atractaspis_aterrima_GAMF01055489,-,3FTx,Atractaspis aterrima ,Atractaspididae
ADE,Atractaspis_aterrima_GAMF01040875,-,3FTx,Atractaspis aterrima ,Atractaspididae
ADF,Atractaspis_aterrima_GAMF01005539,-,3FTx,Atractaspis aterrima ,Atractaspididae
ADG,Ahaetulla_prasina_A0A346CLY8,-,3FTx,Ahaetulla prasina ,Colubridae
ADH,Ahaetulla_prasina_A0A193CHL5,-,3FTx,Ahaetulla prasina ,Colubridae
ADI,Ahaetulla_prasina_A0A346CLZ1,-,3FTx,Ahaetulla prasina ,Colubridae
ADJ,Ahaetulla_prasina_A0A346CLZ0,-,3FTx,Ahaetulla prasina ,Colubridae
ADK,Ahaetulla_prasina_A0A346CM25,-,3FTx,Ahaetulla prasina ,Colubridae
ADL,Ahaetulla_prasina_A0A346CM15,-,3FTx,Ahaetulla prasina ,Colubridae
ADM,Rhabdophis_subminiatus_unigene76486,-,3FTx,Rhabdophis subminiatus ,Colubridae
ADN,Thrasops_jacksonii_A7X3U7,-,3FTx,Thrasops jacksonii ,Colubridae
ADO,Thelotornis_mossambicanus_3FTx_06,-,3FTx,Thelotornis mossambicanus ,Colubridae
ADP,Rhabdophis_subminiatus_unigene76489,-,3FTx,Rhabdophis subminiatus ,Colubridae
ADQ,Thrasops_jacksonii_A7X3U4,-,3FTx,Thrasops jacksonii ,Colubridae
ADR,Rhabdophis_subminiatus_unigene24430,-,3FTx,Rhabdophis subminiatus ,Colubridae
ADS,Dispholidus_typus_A7X3U0,-,3FTx,Dispholidus typus ,Colubridae
ADT,Thelotornis_mossambicanus_3FTx_08,-,3FTx,Thelotornis mossambicanus ,Colubridae
ADU,Thelotornis_mossambicanus_3FTx_15,-,3FTx,Thelotornis mossambicanus ,Colubridae
ADV,Thrasops_jacksonii_A7X3T6,-,3FTx,Thrasops jacksonii ,Colubridae
ADW,Rhabdophis_subminiatus_unigene76481,-,3FTx,Rhabdophis subminiatus ,Colubridae
ADX,Dispholidus_typus_A7X3T2,-,3FTx,Dispholidus typus ,Colubridae
ADY,Thelotornis_mossambicanus_3FTx_11,-,3FTx,Thelotornis mossambicanus ,Colubridae
ADZ,Thelotornis_mossambicanus_3FTx_09,-,3FTx,Thelotornis mossambicanus ,Colubridae
AEA,Telescopus_dhara_A7X3S5,-,3FTx,Telescopus dhara ,Colubridae
AEB,Telescopus_dhara_A7X3S8,-,3FTx,Telescopus dhara ,Colubridae
AEC,Boiga_dendrophila_dendrophila_GGUB01000025,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AED,Boiga_trigonata_GGUG01000001,-,3FTx,Boiga trigonata ,Colubridae
AEE,Boiga_dendrophila_dendrophila_GGUB01000027,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AEF,Boiga_dendrophila_gemmicincta_GGUC01000009,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AEG,Boiga_dendrophila_dendrophila_GGUB01000024,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AEH,Boiga_nigriceps_GGUF01000002,-,3FTx,Boiga nigriceps ,Colubridae
AEI,Boiga_trigonata_GGUG01000005,-,3FTx,Boiga trigonata ,Colubridae
AEJ,Boiga_trigonata_GGUG01000002,-,3FTx,Boiga trigonata ,Colubridae
AEK,Boiga_irregularis_A0A193CHM0,-,3FTx,Boiga irregularis ,Colubridae
AEL,Boiga_nigriceps_GGUF01000003,-,3FTx,Boiga nigriceps ,Colubridae
AEM,Boiga_irregularis_Brisbane_GGUD01000001,-,3FTx,Boiga irregularis ,Colubridae
AEN,Boiga_irregularis_A0A193CHL9,-,3FTx,Boiga irregularis ,Colubridae
AEO,Boiga_irregularis_A0A0B8RYX1,-,3FTx,Boiga irregularis ,Colubridae
AEP,Boiga_irregularis_A0A0B8RSZ3,-,3FTx,Boiga irregularis ,Colubridae
AEQ,Boiga_irregularis_A0A0B8RYY9,-,3FTx,Boiga irregularis ,Colubridae
AER,Boiga_irregularis_A0A0B8RS48,-,3FTx,Boiga irregularis ,Colubridae
AES,Boiga_irregularis_Brisbane_GGUD01000007,-,3FTx,Boiga irregularis ,Colubridae
AET,Boiga_irregularis_A0A193CHL6,-,3FTx,Boiga irregularis ,Colubridae
AEU,Boiga_dendrophila_dendrophila_GGUB01000002,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AEV,Boiga_dendrophila_gemmicincta_GGUC01000002,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AEW,Boiga_dendrophila_gemmicincta_GGUC01000001,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AEX,Boiga_dendrophila_dendrophila_GGUB01000005,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AEY,Spilotes_sulphureus_A0A346CIB7,-,3FTx,Spilotes sulphureus ,Colubridae
AEZ,Spilotes_sulphureus_A0A346CIB0,-,3FTx,Spilotes sulphureus ,Colubridae
AFA,Spilotes_sulphureus_A0A346CI95,-,3FTx,Spilotes sulphureus ,Colubridae
AFB,Coelognathus_radiatus_P83490,-,3FTx,Coelognathus radiatus ,Colubridae
AFC,Trimorphodon_biscutatus_A7X3S2,-,3FTx,Trimorphodon biscutatus ,Colubridae
AFD,Trimorphodon_lambda_A0A193CHM4,-,3FTx,Trimorphodon lambda ,Colubridae
AFE,Trimorphodon_lambda_A0A193CHM5,-,3FTx,Trimorphodon lambda ,Colubridae
AFF,Trimorphodon_biscutatus_A7X3S0,-,3FTx,Trimorphodon biscutatus ,Colubridae
AFG,Boiga_trigonata_GGUG01000007,-,3FTx,Boiga trigonata ,Colubridae
AFH,Boiga_dendrophila_dendrophila_GGUB01000015,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AFI,Telescopus_dhara_A7X3V0,-,3FTx,Telescopus dhara ,Colubridae
AFJ,Oxybelis_fulgidus_A0A193CHK9,-,3FTx,Oxybelis fulgidus ,Colubridae
AFK,Spilotes_sulphureus_A0A346CIB4,-,3FTx,Spilotes sulphureus ,Colubridae
AFL,Spilotes_sulphureus_A0A346CIB5,-,3FTx,Spilotes sulphureus ,Colubridae
AFM,Spilotes_sulphureus_A0A346CIA9,-,3FTx,Spilotes sulphureus ,Colubridae
AFN,Spilotes_sulphureus_A0A346CIB2,-,3FTx,Spilotes sulphureus ,Colubridae
AFO,Spilotes_sulphureus_A0A346CI94,-,3FTx,Spilotes sulphureus ,Colubridae
AFP,Trimorphodon_lambda_A0A193CHM1,-,3FTx,Trimorphodon lambda ,Colubridae
AFQ,Spilotes_sulphureus_A0A346CIB1,-,3FTx,Spilotes sulphureus ,Colubridae
AFR,Spilotes_sulphureus_A0A346CIB3,-,3FTx,Spilotes sulphureus ,Colubridae
AFS,Spilotes_sulphureus_A0A346CI93,-,3FTx,Spilotes sulphureus ,Colubridae
AFT,Spilotes_sulphureus_A0A346CIA0,-,3FTx,Spilotes sulphureus ,Colubridae
AFU,Spilotes_sulphureus_A0A346CIB6,-,3FTx,Spilotes sulphureus ,Colubridae
AFV,Boiga_dendrophila_Q06ZW0,-,3FTx,Boiga dendrophila ,Colubridae
AFW,Boiga_irregularis_A0S865,-,3FTx,Boiga irregularis ,Colubridae
AFX,Boiga_irregularis_A0A0B8RZX5,-,3FTx,Boiga irregularis ,Colubridae
AFY,Boiga_irregularis_A0A0B8RVB7,-,3FTx,Boiga irregularis ,Colubridae
AFZ,Boiga_trigonata_GGUG01000006,-,3FTx,Boiga trigonata ,Colubridae
AGA,Boiga_cynodon_A0A193CHL1,-,3FTx,Boiga cynodon ,Colubridae
AGB,Boiga_nigriceps_A0A193CHL8,-,3FTx,Boiga nigriceps ,Colubridae
AGC,Boiga_irregularis_Brisbane_GGUD01000016,-,3FTx,Boiga irregularis ,Colubridae
AGD,Boiga_nigriceps_GGUF01000004,-,3FTx,Boiga nigriceps ,Colubridae
AGE,Boiga_irregularis_A0A0B8RZX6,-,3FTx,Boiga irregularis ,Colubridae
AGF,Protobothrops_flavoviridis_U3T794,-,3FTx,Protobothrops flavoviridis ,Viperidae
AGG,Protobothrops_mucrosquamatus_XP_015678608,-,snake genomic,Protobothrops mucrosquamatus ,Viperidae
AGH,Sistrurus_catenatus_edwardsii_A5X2W8,-,3FTx,Sistrurus catenatus edwardsii,Viperidae
AGI,Crotalus_adamanteus_A0A1W7RBD9,-,3FTx,Crotalus adamanteus ,Viperidae
AGJ,Leioheterodon_madagascariensis_A7X3R6,-,3FTx,Leioheterodon madagascariensis ,Pseudoxyrhophiidae
AGK,Psammophis_subtaeniatus_unigene33896,-,3FTx,Psammophis subtaeniatus ,Psammophiidae
AGL,Psammophis_schokari_unigene503446,-,3FTx,Psammophis schokari ,Psammophiidae
AGM,Psammophis_schokari_unigene221596,-,3FTx,Psammophis schokari ,Psammophiidae
AGN,Psammophis_schokari_unigene36962,-,3FTx,Psammophis schokari ,Psammophiidae
AGO,Psammophis_subtaeniatus_unigene107172,-,3FTx,Psammophis subtaeniatus ,Psammophiidae
AGP,Malpolon_monspessulanus_unigene50403,-,3FTx,Malpolon monspessulanus ,Psammophiidae
AGQ,Azemiops_feae_M9T2J4,-,3FTx,Azemiops feae ,Viperidae
AGR,Vipera_transcaucasiana_3FTx_10,-,3FTx,Vipera transcaucasiana ,Viperidae
AGS,Vipera_transcaucasiana_3FTx_08,-,3FTx,Vipera transcaucasiana ,Viperidae
AGT,Vipera_transcaucasiana_3FTx_07,-,3FTx,Vipera transcaucasiana ,Viperidae
AGU,Vipera_transcaucasiana_3FTx_09,-,3FTx,Vipera transcaucasiana ,Viperidae
AGV,Pseudocerastes_urarachnoides_3FTx_06,-,3FTx,Pseudocerastes urarachnoides ,Viperidae
AGW,Pseudocerastes_urarachnoides_3FTx_05,-,3FTx,Pseudocerastes urarachnoides ,Viperidae
AGX,Sistrurus_catenatus_edwardsii_B4Y143,-,3FTx,Sistrurus catenatus edwardsii,Viperidae
AGY,Protobothrops_mucrosquamatus_XP_015678603,-,snake genomic,Protobothrops mucrosquamatus ,Viperidae
AGZ,Crotalus_adamanteus_A0A1W7RBC9,-,3FTx,Crotalus adamanteus ,Viperidae
AHA,sp|P25682|3NOJ6_DENJA Toxin S6C6 OS=Dendroaspis jamesoni kaimosae OX=8619 PE=1 SV=1,Toxin S6C6 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AHB,sp|C0HKZ8|3NOJ_WALAE Actiflagelin OS=Walterinnesia aegyptia OX=64182 PE=1 SV=2,Actiflagelin ,3FTx,Walterinnesia aegyptia ,Elapidae
AHC,sp|P81782|3NOJ_BUNCA Bucandin OS=Bungarus candidus OX=92438 PE=1 SV=1,Bucandin ,3FTx,Bungarus candidus ,Elapidae
AHD,sp|A7X3M9|3NX1_ERYPO Probable weak neurotoxin 3FTxLio1 OS=Erythrolamprus poecilogyrus OX=338838 PE=3 SV=1,Probable weak neurotoxin 3FTxLio1 ,3FTx,Erythrolamprus poecilogyrus ,Colubridae
AHE,sp|A5X2W8|3NX3_SISCA Threefinger toxin 3 OS=Sistrurus catenatus edwardsii OX=8762 PE=1 SV=1,Threefinger toxin 3 ,3FTx,Sistrurus catenatus edwardsii ,Viperidae
AHF,sp|A7X3R6|3NX1_LEIMD Toxin 3FTxLei1 OS=Leioheterodon madagascariensis OX=46577 PE=3 SV=1,Toxin 3FTxLei1 ,3FTx,Leioheterodon madagascariensis ,Pseudoxyrhophiidae
AHG,sp|P10456|3S1D_LATCO Short neurotoxin D OS=Laticauda colubrina OX=8628 PE=1 SV=2,Short neurotoxin D ,3FTx,Laticauda colubrina ,Elapidae
AHH,sp|P10457|3S12_LATCO Short neurotoxin II OS=Laticauda colubrina OX=8628 PE=1 SV=2,Short neurotoxin II ,3FTx,Laticauda colubrina ,Elapidae
AHI,sp|P10455|3S1C_LATCO Short neurotoxin C OS=Laticauda colubrina OX=8628 PE=3 SV=2,Short neurotoxin C ,3FTx,Laticauda colubrina ,Elapidae
AHJ,sp|Q9YGX1|3S1ED_LATSE Short neurotoxin OKIEd OS=Laticauda semifasciata OX=8631 PE=3 SV=1,Short neurotoxin OKIEd ,3FTx,Laticauda semifasciata ,Elapidae
AHK,sp|P10458|3S1C_LATCR Short neurotoxin C OS=Laticauda crockeri OX=8629 PE=1 SV=1,Short neurotoxin C ,3FTx,Laticauda crockeri ,Elapidae
AHL,sp|P10460|3S1C_LATLA Short neurotoxin C OS=Laticauda laticaudata OX=8630 PE=1 SV=1,Short neurotoxin C ,3FTx,Laticauda laticaudata ,Elapidae
AHM,sp|Q9YGW9|3S12_LATLA Short neurotoxin VAN10 OS=Laticauda laticaudata OX=8630 PE=3 SV=1,Short neurotoxin VAN10 ,3FTx,Laticauda laticaudata ,Elapidae
AHN,sp|Q9YGW8|3S14_LATLA Short neurotoxin VAN29 OS=Laticauda laticaudata OX=8630 PE=3 SV=1,Short neurotoxin VAN29 ,3FTx,Laticauda laticaudata ,Elapidae
AHO,sp|P10459|3S1B_LATLA Short neurotoxin B OS=Laticauda laticaudata OX=8630 PE=1 SV=2,Short neurotoxin B ,3FTx,Laticauda laticaudata ,Elapidae
AHP,sp|P25496|3S1B_LATCR Short neurotoxin B OS=Laticauda crockeri OX=8629 PE=1 SV=1,Short neurotoxin B ,3FTx,Laticauda crockeri ,Elapidae
AHQ,"Chmy_5 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AHR,sp|P25495|3S1A_LATCR Short neurotoxin A OS=Laticauda crockeri OX=8629 PE=1 SV=1,Short neurotoxin A ,3FTx,Laticauda crockeri ,Elapidae
AHS,sp|Q9YGC2|3S11_LATLA Short neurotoxin OKI17/NCA06 OS=Laticauda laticaudata OX=8630 PE=3 SV=1,Short neurotoxin OKI17/NCA06 ,3FTx,Laticauda laticaudata ,Elapidae
AHT,sp|Q9YGC4|3S13_LATLA Short neurotoxin OKI01/OKI19 OS=Laticauda laticaudata OX=8630 PE=3 SV=1,Short neurotoxin OKI01/OKI19 ,3FTx,Laticauda laticaudata ,Elapidae
AHU,sp|P01421|3S14_NAJHA Short neurotoxin 4 OS=Naja annulifera OX=96794 PE=1 SV=1,Short neurotoxin 4 ,3FTx,Naja annulifera ,Elapidae
AHV,sp|P01420|3S13_NAJHA Short neurotoxin 3 OS=Naja annulifera OX=96794 PE=1 SV=1,Short neurotoxin 3 ,3FTx,Naja annulifera ,Elapidae
AHW,sp|P80548|3S11_MICNI Threefinger toxin Mnn I OS=Micrurus nigrocinctus OX=8635 PE=1 SV=1,Threefinger toxin Mnn I ,3FTx,Micrurus nigrocinctus ,Elapidae
AHX,sp|F5CPD8|3S157_MICAT Three finger toxin MALT0057C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Three finger toxin MALT0057C ,3FTx,Micrurus altirostris ,Elapidae
AHY,sp|K9MCH1|3S11_MICLL Threefinger toxin A1 OS=Micrurus laticollaris OX=1240351 PE=1 SV=1,Threefinger toxin A1 ,3FTx,Micrurus laticollaris ,Elapidae
AHZ,sp|P0CAR1|3S1D1_MICPY Short neurotoxin D1 OS=Micrurus pyrrhocryptus OX=129468 PE=1 SV=1,Short neurotoxin D1 ,3FTx,Micrurus pyrrhocryptus ,Elapidae
AIA,sp|F5CPD5|3S151_MICAT Three finger toxin MALT0051C OS=Micrurus altirostris OX=129457 PE=1 SV=1,Three finger toxin MALT0051C ,3FTx,Micrurus altirostris ,Elapidae
AIB,"Chmy_4 Chelonia mydas unplaced genomic scaffold, CheMyd_1.0 scaffold708, whole genome shotgun sequence",-,Ly-6,Chelonia mydas,Testudines
AIC,sp|P86095|3S11_MICSU Threefinger toxin MS1 OS=Micrurus surinamensis OX=129470 PE=1 SV=1,Threefinger toxin MS1 ,3FTx,Micrurus surinamensis ,Elapidae
AID,sp|C1IC47|3S13_WALAE Threefinger toxin WIII OS=Walterinnesia aegyptia OX=64182 PE=1 SV=1,Threefinger toxin WIII ,3FTx,Walterinnesia aegyptia ,Elapidae
AIE,sp|P34075|3S11_NAJAN Short neurotoxin 1 OS=Naja annulata annulata OX=8610 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja annulata annulata ,Elapidae
AIF,sp|C1IC48|3S14_WALAE Threefinger toxin WIV OS=Walterinnesia aegyptia OX=64182 PE=1 SV=1,Threefinger toxin WIV ,3FTx,Walterinnesia aegyptia ,Elapidae
AIG,sp|P01432|3S13_NAJMO Short neurotoxin 3 OS=Naja mossambica OX=8644 PE=1 SV=1,Short neurotoxin 3 ,3FTx,Naja mossambica ,Elapidae
AIH,sp|P01433|3S12_HEMHA Short neurotoxin 2 OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Short neurotoxin 2 ,3FTx,Hemachatus haemachatus ,Elapidae
AII,sp|P01431|3S11_NAJMO Short neurotoxin 1 OS=Naja mossambica OX=8644 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja mossambica ,Elapidae
AIJ,sp|P82849|3S1B2_NAJKA Cobrotoxin II OS=Naja kaouthia OX=8649 PE=1 SV=1,Cobrotoxin II ,3FTx,Naja kaouthia ,Elapidae
AIK,sp|P14613|3S1B1_NAJKA Short neurotoxin 1 OS=Naja kaouthia OX=8649 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja kaouthia ,Elapidae
AIL,sp|P60770|3S1CB_NAJAT Cobrotoxin OS=Naja atra OX=8656 PE=1 SV=1,Cobrotoxin ,3FTx,Naja atra ,Elapidae
AIM,"Nana_c3_11 Naja naja isolate NN01 chromosome 3, whole genome shotgun sequence",-,snake genomic,Naja naja,Elapidae
AIN,sp|Q9PSN6|3S13_NAJSP Neurotoxin 3 OS=Naja sputatrix OX=33626 PE=1 SV=1,Neurotoxin 3 ,3FTx,Naja sputatrix ,Elapidae
AIO,sp|O57327|3S1A4_NAJSP Alphaneurotoxin NTX4 OS=Naja sputatrix OX=33626 PE=3 SV=1,Alphaneurotoxin NTX4 ,3FTx,Naja sputatrix ,Elapidae
AIP,sp|Q9YGJ5|3S1A2_NAJSP Alphaneurotoxin NTX2 OS=Naja sputatrix OX=33626 PE=3 SV=1,Alphaneurotoxin NTX2 ,3FTx,Naja sputatrix ,Elapidae
AIQ,sp|Q9YGJ6|3S1A1_NAJSP Alphaneurotoxin NTX1 OS=Naja sputatrix OX=33626 PE=3 SV=1,Alphaneurotoxin NTX1 ,3FTx,Naja sputatrix ,Elapidae
AIR,sp|O57326|3S1A3_NAJSP Alphaneurotoxin NTX3 OS=Naja sputatrix OX=33626 PE=3 SV=1,Alphaneurotoxin NTX3 ,3FTx,Naja sputatrix ,Elapidae
AIS,sp|P25675|3S12_NAJHH Short neurotoxin 2 OS=Naja haje haje OX=8642 PE=1 SV=1,Short neurotoxin 2 ,3FTx,Naja haje haje ,Elapidae
AIT,sp|P01423|3S12_NAJNI Short neurotoxin 2 OS=Naja nivea OX=8655 PE=1 SV=1,Short neurotoxin 2 ,3FTx,Naja nivea ,Elapidae
AIU,sp|P01422|3S12_NAJHA Short neurotoxin 2 OS=Naja annulifera OX=96794 PE=1 SV=1,Short neurotoxin 2 ,3FTx,Naja annulifera ,Elapidae
AIV,sp|P34076|3S11_NAJCH Short neurotoxin 1 OS=Naja christyi OX=8611 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja christyi ,Elapidae
AIW,sp|P01425|3S11_HEMHA Short neurotoxin 1 OS=Hemachatus haemachatus OX=8626 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Hemachatus haemachatus ,Elapidae
AIX,"Pste_6 Pseudonaja textilis unplaced genomic scaffold, EBS10Xv2PRI ULFR01000082.1, whole genome shotgun sequence",-,snake genomic,Pseudonaja textilis,Elapidae
AIY,sp|P68417|3S11_NAJHA Short neurotoxin 1 OS=Naja annulifera OX=96794 PE=1 SV=1,Short neurotoxin 1 ,3FTx,Naja annulifera ,Elapidae
