mapped_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P02945,Conus ammiralis,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,10.044598,8.204037,8.04238,-0.43695694,-0.686378,0.10897334,
P02947,Conus obscurus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,10.186107,8.712813,7.526025,-0.2938718,-0.55030733,-0.051230013,
P02949,Conus obscurus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.237815,8.059468,8.248312,-0.3250618,-0.6229704,0.06226313,
P02951,Conus obscurus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.687576,8.632623,7.473215,-0.16393279,-0.7228124,-0.09889643,
P02953,Conus geographus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.578,9.631079,5.376023,0.32880953,-0.8031657,-0.4350677,
P02955,Conus quercinus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,10.009957,9.685353,5.8224916,0.08730531,-0.8212079,-0.5130185,
P02957,Conus geographus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.648827,9.674689,5.511525,0.32259712,-0.81927925,-0.42258015,
P02959,Conus textile,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.773073,9.808158,7.085943,-0.32655007,-0.6529719,-0.024764031,
P02961,Conus marmoreus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.514477,10.186879,6.1856837,0.13095035,-0.58348334,-0.35621294,
P02963,Conus marmoreus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.12977,9.674118,6.550311,0.46482164,-0.6254039,-0.49895644,
P02964,Conus caracteristicus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.756277,9.97697,6.404656,-0.02317102,-0.6786474,-0.19760647,
P02966,Conus caracteristicus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.581288,10.07072,6.284413,0.14370357,-0.71833766,-0.25188264,
P02968,Conus quercinus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,10.1257515,9.741718,6.0060625,0.040992968,-0.7902147,-0.5059406,
P02969,Conus striatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.3421018,17.798964,12.067825,1.8363798,0.5646063,-0.32555062,
P02975,Conus geographus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.977145,6.743827,6.134995,-0.27116522,-0.44423094,-0.43377313,
P02977,Conus radiatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.665483,6.3403034,5.87107,-0.6238613,-0.18908682,-0.38621756,
P02979,Conus radiatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.890771,6.7686076,6.057376,-0.2755519,-0.43012285,-0.34235564,
P02981,Conus stercusmuscarum,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.874256,6.6629024,6.1070156,-0.7244179,-0.2776384,-0.34134188,
P02983,Conus geographus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.959582,6.9338107,6.178105,-0.2755519,-0.43012285,-0.34235564,
P02985,Conus monachus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.837793,6.465696,5.8996253,-0.3589671,-0.4476407,-0.27129218,
P02987,Conus achatinus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.83677,6.4742646,5.894167,-0.46905074,-0.36568278,-0.3269349,
P02989,Conus achatinus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.708668,6.2787356,5.876004,-0.530129,-0.28800344,-0.3748244,
P02991,Conus betulinus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.791869,6.3913035,5.826106,-0.5049255,-0.24593855,-0.35284486,
P02993,Conus monachus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.675663,6.364409,5.7661886,-0.530129,-0.28800344,-0.3748244,
P02995,Conus circumcisus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.76233,6.6801686,6.1719337,-0.6628104,-0.2951842,-0.35181397,
P02997,Conus radiatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.9605875,6.641825,5.9088845,-0.30639774,-0.4376822,-0.44887498,
P02999,Conus magus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.87817,6.3682103,5.784961,-0.3431273,-0.5461035,-0.3403239,
P03000,Conus ermineus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.665736,8.143676,7.319461,-0.23543605,-0.7486693,-0.18229297,
P03002,Conus ermineus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.538249,8.088955,7.4939375,-0.06586409,-0.7640738,-0.2080172,
P03004,Conus purpurascens,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.720656,8.679934,7.6700764,-0.047363512,-0.77687407,0.17934242,
P03006,Conus sulcatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.704766,8.390149,8.226401,-0.53255755,-0.65693754,0.0018936315,
P03008,Conus sulcatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.67632,8.646843,8.033237,-0.27804777,-0.8028804,0.16447845,
P03010,Conus sulcatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.737017,8.563871,7.859809,-0.14905506,-0.7526937,0.15315165,
P03011,Conus purpurascens,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.749447,8.045849,7.5204697,-0.14997824,-0.74726796,-0.19501287,
P03013,Conus leopardus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.933654,9.882772,6.449874,0.10113649,-0.74936557,-0.30859977,
P03015,Conus leopardus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.815514,10.246717,6.786775,-0.3701468,-0.69534945,-0.22937666,
P03016,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.7789881,17.747658,12.690452,1.9694045,0.7855914,-0.5471551,
P03018,Conus textile,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.6403582,17.544325,11.30085,1.3248544,0.80815,-0.6266383,
P03020,Conus omaria,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.1765056,18.240679,13.35561,2.2542849,0.588875,-0.56863743,
P03022,Conus dalli,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.9100819,17.562922,11.130865,1.1602461,0.70445174,-0.54482836,
P03024,Conus dalli,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.6760898,17.490198,11.272314,1.3199638,0.7220615,-0.69518363,
P03025,Conus textile,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,1.9277768,18.06938,13.372138,2.3971617,0.77099085,-0.59349185,
P03026,Conus textile,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,1.8992304,18.00164,13.572048,2.2748265,0.6928448,-0.56100863,
P03028,Conus ammiralis,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,1.8753564,17.87046,13.478964,2.3531382,0.76915133,-0.59355253,
P03030,Conus dalli,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.397275,17.747644,13.3217745,2.2046292,0.7495578,-0.531889,
P03032,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.1911824,17.798306,13.370947,2.2621915,0.58888,-0.5757362,
P03034,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.053197,17.814821,13.584902,2.364885,0.77048206,-0.63328546,
P03036,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.7282603,18.0394,12.580462,1.9858725,0.54225683,-0.5008564,
P03038,Conus magus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.035063,17.79044,13.178845,2.1940393,0.6735041,-0.5525711,
P03039,Conus textile,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.4213579,17.828873,13.098782,2.134737,0.75177616,-0.52904713,
P03041,Conus omaria,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.2710216,17.750233,13.546642,2.216356,0.72299576,-0.44964534,
P03043,Conus omaria,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.6489823,17.750706,13.430813,2.034984,0.60845554,-0.54670143,
P03045,Conus omaria,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.7686079,17.589615,12.95859,2.0045106,0.61937827,-0.5407782,
P03047,Conus aulicus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.1249623,17.655794,13.263325,2.223704,0.7058797,-0.46488598,
P03049,Conus aulicus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.3773606,17.485113,12.918135,1.9888096,0.816667,-0.5260703,
P03051,Conus dalli,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.1195323,18.156055,13.71175,2.446154,0.77588457,-0.53903246,
P03053,Conus distans,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.5803368,17.793085,12.677913,1.9847933,0.5525672,-0.53242695,
P03055,Conus pennaceus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.7033267,17.843603,13.201448,2.0177393,0.50942695,-0.48553962,
P03057,Conus pennaceus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.2315142,17.6329,13.37913,2.2558956,0.72914445,-0.54572564,
P03059,Conus pennaceus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.5547938,17.855326,13.2815695,2.0622442,0.4697618,-0.44342908,
P03061,Conus pennaceus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.321773,17.837513,13.000899,2.047392,0.62555254,-0.44518998,
P03063,Conus ammiralis,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.2009916,18.150845,13.817634,2.3679252,0.8265194,-0.47257847,
P03065,Conus textile,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.2373397,18.238058,13.575561,2.4012523,0.7314489,-0.5262517,
P03067,Conus marmoreus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,1.9384586,18.090998,13.87843,2.5125585,0.8992168,-0.58017325,
P03068,Conus marmoreus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.0055733,18.16153,13.744946,2.3556454,0.7201915,-0.510338,
P03070,Conus marmoreus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.6992707,18.066238,12.984816,1.9059017,0.5498765,-0.51271063,
P03071,Conus marmoreus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.9348466,17.656912,12.530533,1.8206905,0.44321367,-0.33514714,
P03073,Conus omaria,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,4.1787753,17.280811,12.27423,1.646311,0.29733104,-0.29846206,
P03075,Conus aulicus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,4.299816,17.313313,12.2678585,1.5269763,0.30195552,-0.29939917,
P03076,Conus aurisiacus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.0654445,17.886309,12.216451,1.9246287,0.5828137,-0.50669277,
P03077,Conus magus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.3872802,17.9327,11.679575,1.7682632,0.5727919,-0.29582906,
P03078,Conus magus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.3663046,17.714449,11.621245,1.7758349,0.6755679,-0.34896052,
P03079,Conus magus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.214309,18.028355,12.143474,1.895119,0.6283876,-0.330378,
P03081,Conus magus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.4551601,17.67568,11.418512,1.5367057,0.71163416,-0.30963126,
P03082,Conus ermineus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.2502577,17.45245,11.888009,1.8630205,0.7368069,-0.51709926,
P03084,Conus purpurascens,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.1006908,17.50002,11.8142185,1.8421217,0.75069934,-0.52612346,
P03085,Conus striatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.2699633,17.945482,11.987008,1.862662,0.56525475,-0.32720044,
P03086,Conus catus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.9325051,17.775162,12.229315,1.9930192,0.6535662,-0.50097394,
P03088,Conus catus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.839302,17.568903,11.9378195,1.9004097,0.6990955,-0.5000864,
P03090,Conus distans,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.0182858,17.966555,11.588238,1.6951694,0.6762653,-0.37100175,
P03092,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,1.9063683,18.157907,12.762108,2.136509,0.6307408,-0.5052324,
P03094,Conus dalli,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,1.9048945,18.001184,12.863128,2.082485,0.5938077,-0.4543846,
P03096,Conus pennaceus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.4970894,17.815434,12.379198,2.0282993,0.6529979,-0.4655286,
P03098,Conus distans,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.4716525,16.952507,10.928458,1.9891603,0.8082985,-0.33030048,
P03100,Conus ammiralis,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.1567852,18.01468,12.595098,2.0003617,0.539303,-0.39776108,
P03102,Conus textile,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.0197186,18.082434,12.762202,2.2169356,0.6940867,-0.53473383,
P03104,Conus gloriamaris,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.789233,17.959873,12.242401,1.8023269,0.61878157,-0.34990484,
P03106,Conus omaria,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.7256417,17.92278,11.83936,1.704159,0.66206604,-0.3073674,
P03108,Conus dalli,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.8122334,17.771992,12.125937,1.7231748,0.5999339,-0.3511383,
P03110,Conus dalli,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.6245916,18.135406,12.199166,1.9070605,0.72548884,-0.39100248,
P03112,Conus pennaceus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,4.124682,17.785915,12.37448,1.8117491,0.5901049,-0.33009967,
P03114,Conus geographus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,4.019763,17.6736,12.5812235,1.7954088,0.47447604,-0.32775906,
P03116,Conus quercinus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,4.287696,17.178,11.9207535,1.0726783,0.29789886,-0.14116418,
P03118,Conus leopardus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.6531851,17.396765,11.939128,1.7451851,0.6497694,-0.36344734,
P03120,Conus marmoreus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.4873405,18.130245,13.295594,2.2455366,0.63079983,-0.52879953,
P03122,Conus quercinus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,4.3571796,17.744652,12.056814,1.5069532,0.3572471,-0.34321788,
P03124,Conus arenatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.2235982,17.925892,13.136137,2.1208563,0.74441546,-0.603152,
P03126,Conus tessulatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.9151905,18.039867,12.660503,2.0534275,0.5189004,-0.50512135,
P03127,Conus imperialis,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.795486,17.404587,11.4952965,1.5353723,0.43189424,-0.31441122,
P03129,Conus caracteristicus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,1.8879325,18.049463,13.493498,2.3969147,0.6320182,-0.476412,
P03131,Conus lividus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.3361845,17.998621,13.314221,2.2455366,0.63079983,-0.52879953,
P03133,Conus pulicarius,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.0857227,17.702925,13.278901,2.2315893,0.72602177,-0.47175574,
P03135,Conus generalis,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.6528907,17.696236,12.506194,1.8691407,0.53265005,-0.18897462,
P03137,Conus episcopatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.7022817,17.647024,13.06395,2.1090555,0.67966574,-0.475703,
P03138,Conus bullatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.1109836,17.78082,12.380957,1.9738568,0.64169925,-0.47530723,
P03139,Conus consors,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.2264657,17.830935,11.686876,1.8234179,0.72762614,-0.35932443,
P03141,Conus consors,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.6101258,17.789404,11.782472,1.7032622,0.53360707,-0.27804625,
P03142,Conus stercusmuscarum,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.442291,17.782263,12.105276,1.8524103,0.5397125,-0.330014,
P03144,Conus striolatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.288261,17.520258,11.83542,1.8630205,0.7368069,-0.51709926,
P03146,Conus striolatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.4753046,17.543142,11.435308,1.5561981,0.55568564,-0.3323087,
P03148,Conus striolatus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,3.0239193,16.975029,10.871549,1.4223825,0.6741561,-0.24681672,
P03586,Conus capitaneus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.658969,11.645494,12.912876,-0.8587114,-0.14231947,0.28746933,
P03588,Conus capitaneus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.525444,11.83736,9.900709,-0.45438552,-0.36713687,0.30069187,
P03590,Conus capitaneus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.735057,11.859286,9.855455,-0.5059967,-0.35464662,0.2673507,
P03592,Conus capitaneus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.993602,11.46424,13.459074,-0.87547463,0.020346379,0.30735648,
P03594,Conus capitaneus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.336784,11.932894,9.916717,-0.41705737,-0.3976543,0.33726916,
P03596,Conus mustelinus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.744303,11.70439,10.37807,-0.56603503,-0.23652975,0.40957278,
P03598,Conus mustelinus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.925086,11.941412,9.976308,-0.42703387,-0.3511963,0.4071408,
P03600,Conus mustelinus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.600294,11.952312,9.926482,-0.49107364,-0.3789088,0.3481158,
P03602,Conus mustelinus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.643748,11.957312,10.117419,-0.60208964,-0.34700695,0.39772722,
P03604,Conus mustelinus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.967643,11.8517685,10.153252,-0.58335334,-0.41445273,0.33935222,
P03606,Conus miles,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.830405,11.911634,13.489869,-0.7333707,-0.2380892,0.28816617,
P03608,Conus miles,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.984403,11.792003,13.084676,-0.7286076,-0.29839873,0.247881,
P03610,Conus miles,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.146324,11.721968,13.175037,-0.8620218,-0.16999313,0.24547622,
P03612,Conus miles,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,9.835795,11.549479,12.884176,-0.8587114,-0.14231947,0.28746933,
P03614,Conus rattus,Precursor,conotoxin,D superfamily,NA,NA,nucleic acid level,10.025732,11.483097,10.096227,-0.56845635,-0.29338032,0.29098356,
