Name,Number,3vals,4vals
Osbi753V3b,2,0,2
Osbi753V3f,2,0,0
Osbi753V3g,2,2,3
Osbi753V3h,2,0,2
Osbi753V3i,2,0,0
Osbi753V5c,2,0,1
Osbi753V5e,2,1,0
Osli257Ub,2,0,0
Osli257Uc,2,1,0
Osli257Ud,2,0,0
Osli257Uf,2,0,3
Osli257Ug,2,1,3
Osli257V3a,2,1,0
Osli257V5e,2,1,1
Podo995Ua,2,1,1
Podo995V5b,2,0,1
Soin529,2,0,3
Soin570Ua,2,2,1
Soin570V3b,2,0,2
Soin570V3c,2,2,0
Soin570V3d,2,0,1
Tetac60aU,2,0,3
Tetac70aUx,2,2,0
Waau459V3b,2,2,0
Waau855a,2,2,1
Waau605c,2,2,3
Waau605V3b,2,0,0
PNF42604_1_Golgi-associated_plant_pathogenesis-related_protein_1_Cryptotermes_secundus,2,1,2
KDR20657_1_Golgi-associated_plant_pathogenesis-related_protein_1_Zootermopsis_nevadensis,2,1,0
Frva326a,2,2,2
Mebec23aU,2,0,3
Lihu620,2,0,3
Navi760Ug,2,1,1
Cafl547V3,2,0,0
XP_035911918_1_uncharacterized_protein_LOC118512080_isoform_X1_Anopheles_stephensi,2,0,2
EAT39749_1_AAEL008479-PA_Aedes_aegypti,2,1,1
Eume878V5,2,2,1
Xylocopa_R2735,2,0,2
Osbi662,2,0,2
Osli250,2,1,3
Poca736,2,0,0
Apme643,2,2,0
APIS_N1833,2,0,2
Osbi753V3d,2,1,0
Waau832V3,2,0,2
