uid,dset
AME,3FTx
AMF,3FTx
AMG,3FTx
AMH,3FTx
AMI,3FTx
AMJ,3FTx
AMK,3FTx
AML,3FTx
AMM,3FTx
AMN,3FTx
AMO,3FTx
AMP,3FTx
AMQ,3FTx
AMR,3FTx
AMS,3FTx
AMT,3FTx
AMU,3FTx
AMV,3FTx
AMW,3FTx
AMX,3FTx
AMY,3FTx
AMZ,3FTx
ANA,3FTx
ANB,3FTx
ANC,3FTx
AND,3FTx
ANE,3FTx
ANF,3FTx
ANG,3FTx
ANH,3FTx
ANI,3FTx
ANJ,3FTx
ANK,3FTx
ANL,3FTx
ANM,3FTx
ANN,3FTx
ANO,3FTx
ANP,3FTx
ANQ,3FTx
ANR,3FTx
ANS,3FTx
ANT,3FTx
ANU,3FTx
ANV,3FTx
ANW,3FTx
ANX,3FTx
ANY,3FTx
ANZ,3FTx
AOA,3FTx
AOB,3FTx
AOC,3FTx
AOD,3FTx
AOE,3FTx
AOF,3FTx
AOG,3FTx
AOH,3FTx
AOI,3FTx
AOJ,3FTx
AOK,3FTx
AOL,3FTx
AOM,3FTx
AON,3FTx
AOO,3FTx
AOP,3FTx
AOQ,3FTx
AOR,3FTx
AOS,3FTx
AOT,3FTx
AOU,3FTx
AOV,3FTx
AOW,3FTx
AOX,3FTx
AOY,3FTx
AOZ,3FTx
APA,3FTx
APB,3FTx
APC,3FTx
APD,3FTx
APE,3FTx
APF,3FTx
APG,3FTx
APH,3FTx
API,3FTx
APJ,3FTx
APK,3FTx
APL,3FTx
APM,3FTx
APN,3FTx
APO,3FTx
APP,3FTx
APQ,3FTx
APR,3FTx
APS,3FTx
APT,3FTx
APU,3FTx
APV,3FTx
APW,3FTx
APX,3FTx
APY,3FTx
APZ,3FTx
AQA,3FTx
AQB,3FTx
AQC,3FTx
AQD,3FTx
AQE,3FTx
AQF,3FTx
AQG,3FTx
AQH,3FTx
AQI,3FTx
AQJ,3FTx
AQK,3FTx
AQL,3FTx
AQM,3FTx
AQN,3FTx
AQO,3FTx
AQP,3FTx
AQQ,3FTx
AQR,3FTx
AQS,3FTx
AQT,3FTx
AQU,3FTx
AQV,3FTx
AQW,3FTx
AQX,3FTx
AQY,3FTx
AQZ,3FTx
ARA,3FTx
ARB,3FTx
ARC,3FTx
ARD,3FTx
ARE,3FTx
ARF,3FTx
ARG,3FTx
ARH,3FTx
ARI,3FTx
ARJ,3FTx
ARK,3FTx
ARL,3FTx
ARM,3FTx
ARN,3FTx
ARO,3FTx
ARP,3FTx
ARQ,3FTx
ARR,3FTx
ARS,3FTx
ART,3FTx
ARU,3FTx
ARV,3FTx
ARW,3FTx
ARX,3FTx
ARY,3FTx
ARZ,3FTx
ASA,3FTx
ASB,3FTx
ASC,3FTx
ASD,3FTx
ASE,3FTx
ASF,3FTx
ASG,3FTx
ASH,3FTx
ASI,3FTx
ASJ,3FTx
ASK,3FTx
ASL,3FTx
ASM,3FTx
ASN,3FTx
ASO,3FTx
ASP,3FTx
ASQ,3FTx
ASR,3FTx
ASS,3FTx
AST,3FTx
ASU,3FTx
ASV,3FTx
ASW,3FTx
ASX,3FTx
ASY,3FTx
ASZ,3FTx
ATA,3FTx
ATB,3FTx
ATC,3FTx
ATD,3FTx
ATE,3FTx
ATF,3FTx
ATG,3FTx
ATH,3FTx
ATI,3FTx
ATJ,3FTx
ATK,3FTx
ATL,3FTx
ATM,3FTx
ATN,3FTx
ATO,3FTx
ATP,3FTx
ATQ,3FTx
ATR,3FTx
ATS,3FTx
ATT,3FTx
ATU,3FTx
ATV,3FTx
ATW,3FTx
ATX,3FTx
ATY,3FTx
ATZ,3FTx
AUA,3FTx
AUB,3FTx
AUC,3FTx
AUD,3FTx
AUE,3FTx
AUF,3FTx
AUG,3FTx
AUH,3FTx
AUI,3FTx
AUJ,3FTx
AUK,3FTx
AUL,3FTx
AUM,3FTx
AUN,3FTx
AUO,3FTx
AUP,3FTx
AUQ,3FTx
AUR,3FTx
AUS,3FTx
AUT,3FTx
AUU,3FTx
AUV,3FTx
AUW,3FTx
AUX,3FTx
AUY,3FTx
AUZ,3FTx
AVA,3FTx
AVB,3FTx
AVC,3FTx
AVD,3FTx
AVE,3FTx
AVF,3FTx
AVG,3FTx
AVH,3FTx
AVI,3FTx
AVJ,3FTx
AVK,3FTx
AVL,3FTx
AVM,3FTx
AVN,3FTx
AVO,3FTx
AVP,3FTx
AVQ,3FTx
AVR,3FTx
AVS,3FTx
AVT,3FTx
AVU,3FTx
AVV,3FTx
AVW,3FTx
AVX,3FTx
AVY,3FTx
AVZ,3FTx
AWA,3FTx
AWB,3FTx
AWC,3FTx
AWD,3FTx
AWE,3FTx
AWF,3FTx
AWG,3FTx
AWH,3FTx
AWI,3FTx
AWJ,3FTx
AWK,3FTx
AWL,3FTx
AWM,3FTx
AWN,3FTx
AWO,3FTx
AWP,3FTx
AWQ,3FTx
AWR,3FTx
AWS,3FTx
AWT,3FTx
AWU,3FTx
AWV,3FTx
AWW,3FTx
AWX,3FTx
AWY,3FTx
AWZ,3FTx
AXA,3FTx
AXB,3FTx
AXC,3FTx
AXD,3FTx
AXE,3FTx
AXF,3FTx
AXG,3FTx
AXH,3FTx
AXI,3FTx
AXJ,3FTx
AXK,3FTx
AXL,3FTx
AXM,3FTx
AXN,3FTx
AXO,3FTx
AXP,3FTx
AXQ,3FTx
AXR,3FTx
AXS,3FTx
AXT,3FTx
AXU,3FTx
AXV,3FTx
AXW,3FTx
AXX,3FTx
AXY,3FTx
AXZ,3FTx
AYA,3FTx
AYB,3FTx
AYC,3FTx
AYD,3FTx
AYE,3FTx
AYF,3FTx
AYG,3FTx
AYH,3FTx
AYI,3FTx
AYJ,3FTx
AYK,3FTx
AYL,3FTx
AYM,3FTx
AYN,3FTx
AYO,3FTx
AYP,3FTx
AYQ,3FTx
AYR,3FTx
AYS,3FTx
AYT,3FTx
AYU,3FTx
AYV,3FTx
AYW,3FTx
AYX,3FTx
AYY,3FTx
AYZ,3FTx
AZA,3FTx
AZB,3FTx
AZC,3FTx
AZD,3FTx
AZE,3FTx
AZF,3FTx
AZG,3FTx
AZH,3FTx
AZI,3FTx
AZJ,3FTx
AZK,3FTx
AZL,3FTx
AZM,3FTx
AZN,3FTx
AZO,3FTx
AZP,3FTx
AZQ,3FTx
AZR,3FTx
AZS,3FTx
AZT,3FTx
AZU,3FTx
AZV,3FTx
AZW,3FTx
AZX,3FTx
AZY,3FTx
AZZ,3FTx
BAA,3FTx
BAB,3FTx
BAC,3FTx
BAD,3FTx
BAE,3FTx
BAF,3FTx
BAG,3FTx
BAH,3FTx
BAI,3FTx
BAJ,3FTx
BAK,3FTx
BAL,3FTx
BAM,3FTx
BAN,3FTx
BAO,3FTx
BAP,3FTx
BAQ,3FTx
BAR,3FTx
BAS,3FTx
BAT,3FTx
BAU,3FTx
BAV,3FTx
BAW,3FTx
BAX,3FTx
BAY,3FTx
BAZ,3FTx
BBA,3FTx
BBB,3FTx
BBC,3FTx
BBD,3FTx
BBE,3FTx
BBF,3FTx
BBG,3FTx
BBH,3FTx
BBI,3FTx
BBJ,3FTx
BBK,3FTx
BBL,3FTx
BBM,3FTx
BBN,3FTx
BBO,3FTx
BBP,3FTx
BBQ,3FTx
BBR,3FTx
BBS,3FTx
BBT,3FTx
BBU,3FTx
BBV,3FTx
BBW,3FTx
BBX,3FTx
BBY,3FTx
BBZ,3FTx
BCA,3FTx
BCB,3FTx
BCC,3FTx
BCD,3FTx
BCE,3FTx
BCF,3FTx
BCG,3FTx
BCH,3FTx
BCI,3FTx
BCJ,3FTx
BCK,3FTx
BCL,3FTx
BCM,3FTx
BCN,3FTx
BCO,3FTx
BCP,3FTx
BCQ,3FTx
BCR,3FTx
BCS,3FTx
BCT,3FTx
BCU,3FTx
BCV,3FTx
BCW,3FTx
BCX,3FTx
BCY,3FTx
BCZ,3FTx
BDA,3FTx
BDB,3FTx
BDC,3FTx
BDD,3FTx
BDE,3FTx
BDF,3FTx
BDG,3FTx
BDH,3FTx
BDI,3FTx
BDJ,3FTx
BDK,3FTx
BDL,3FTx
BDM,3FTx
BDN,3FTx
BDO,3FTx
BDP,3FTx
BDQ,3FTx
BDR,3FTx
BDS,3FTx
BDT,3FTx
BDU,3FTx
BDV,3FTx
BDW,3FTx
BDX,3FTx
BDY,3FTx
BDZ,3FTx
BEA,3FTx
BEB,3FTx
BEC,3FTx
BED,3FTx
BEE,3FTx
BEF,3FTx
BEG,3FTx
BEH,3FTx
BEI,3FTx
BEJ,3FTx
BEK,3FTx
BEL,3FTx
BEM,3FTx
BEN,3FTx
BEO,3FTx
BEP,3FTx
BEQ,3FTx
BER,3FTx
BES,3FTx
BET,3FTx
BEU,3FTx
BEV,3FTx
BEW,3FTx
BEX,3FTx
BEY,3FTx
BEZ,3FTx
BFA,3FTx
BFB,3FTx
BFC,3FTx
BFD,3FTx
BFE,3FTx
BFF,3FTx
BFG,3FTx
BFH,3FTx
BFI,3FTx
BFJ,3FTx
BFK,3FTx
BFL,3FTx
BFM,3FTx
BFN,3FTx
BFO,3FTx
BFP,3FTx
BFQ,3FTx
BFR,3FTx
BFS,3FTx
BFT,3FTx
BFU,3FTx
BFV,3FTx
BFW,3FTx
BFX,3FTx
BFY,3FTx
BFZ,3FTx
BGA,3FTx
BGB,3FTx
BGC,3FTx
BGD,3FTx
BGE,3FTx
BGF,3FTx
BGG,3FTx
BGH,3FTx
BGI,3FTx
BGJ,3FTx
BGK,3FTx
BGL,3FTx
BGM,3FTx
BGN,3FTx
BGO,3FTx
BGP,3FTx
BGQ,3FTx
BGR,3FTx
BGS,3FTx
BGT,3FTx
BGU,3FTx
BGV,3FTx
BGW,3FTx
BGX,3FTx
BGY,3FTx
BGZ,3FTx
BHA,3FTx
BHB,3FTx
BHC,3FTx
BHD,3FTx
BHE,3FTx
BHF,3FTx
BHG,3FTx
BHH,3FTx
BHI,3FTx
BHJ,3FTx
BHK,3FTx
BHL,3FTx
BHM,3FTx
BHN,3FTx
BHO,3FTx
BHP,3FTx
BHQ,3FTx
BHR,3FTx
BHS,3FTx
BHT,3FTx
BHU,3FTx
BHV,3FTx
BHW,3FTx
BHX,3FTx
BHY,3FTx
BHZ,3FTx
BIA,3FTx
BIB,3FTx
BIC,3FTx
BID,3FTx
BIE,3FTx
BIF,3FTx
BIG,3FTx
BIH,3FTx
BII,3FTx
BIJ,3FTx
BIK,3FTx
BIL,3FTx
BIM,3FTx
BIN,3FTx
BIO,3FTx
BIP,3FTx
BIQ,3FTx
BIR,3FTx
BIS,3FTx
BIT,3FTx
BIU,3FTx
BIV,3FTx
BIW,3FTx
BIX,3FTx
BIY,3FTx
BIZ,3FTx
BJA,3FTx
BJB,3FTx
BJC,3FTx
BJD,3FTx
BJE,3FTx
BJF,3FTx
BJG,3FTx
BJH,3FTx
BJI,3FTx
BJJ,3FTx
BJK,3FTx
BJL,3FTx
BJM,3FTx
BJN,3FTx
BJO,3FTx
BJP,3FTx
BJQ,3FTx
BJR,3FTx
BJS,3FTx
BJT,3FTx
BJU,3FTx
BJV,3FTx
BJW,3FTx
BJX,3FTx
BJY,3FTx
BJZ,3FTx
BKA,3FTx
BKB,3FTx
BKC,3FTx
BKD,3FTx
BKE,3FTx
BKF,3FTx
BKG,3FTx
BKH,3FTx
BKI,3FTx
BKJ,3FTx
BKK,3FTx
BKL,3FTx
BKM,3FTx
BKN,3FTx
BKO,3FTx
BKP,3FTx
BKQ,3FTx
BKR,3FTx
BKS,3FTx
BKT,3FTx
BKU,3FTx
BKV,3FTx
BKW,3FTx
BKX,3FTx
BKY,3FTx
BKZ,3FTx
BLA,3FTx
BLB,3FTx
BLC,3FTx
BLD,3FTx
BLE,3FTx
BLF,3FTx
BLG,3FTx
BLH,3FTx
BLI,3FTx
BLJ,3FTx
BLK,3FTx
BLL,3FTx
BLM,3FTx
BLN,3FTx
BLO,3FTx
BLP,3FTx
BLQ,3FTx
BLR,3FTx
BLS,3FTx
BLT,3FTx
BLU,3FTx
BLV,3FTx
BLW,3FTx
BLX,3FTx
BLY,3FTx
BLZ,3FTx
BMA,3FTx
BMB,3FTx
BMC,3FTx
BMD,3FTx
BME,3FTx
BMF,3FTx
BMG,3FTx
BMH,3FTx
BMI,3FTx
BMJ,3FTx
BMK,3FTx
BML,3FTx
BMM,3FTx
BMN,3FTx
BMO,3FTx
BMP,3FTx
BMQ,3FTx
BMR,3FTx
BMS,3FTx
BMT,3FTx
BMU,3FTx
BMV,3FTx
BMW,3FTx
BMX,3FTx
BMY,3FTx
BMZ,3FTx
BNA,3FTx
BNB,3FTx
BNC,3FTx
BND,3FTx
Xela,Pla2g2
bAncyC,Pla2g2
bAnplC,Pla2g2
bApauC,Pla2g2
bApfoC,Pla2g2
bAqchC,Pla2g2
bBareC,Pla2g2
bChmaC,Pla2g2
bCucaC,Pla2g2
bGagaC,Pla2g2
bHaleC,Pla2g2
bNaauC,Pla2g2
bOphoC,Pla2g2
bPafaC,Pla2g2
bPskrC,Pla2g2
bPyadC,Pla2g2
bStocC,Pla2g2
bUrpeC,Pla2g2
cAlmiC,Pla2g2
cAlsiC,Pla2g2
cCrpoC,Pla2g2
cGavganC,Pla2g2
mModoC,Pla2g2
mPhciC,Pla2g2
mSahaC,Pla2g2
mChlaC,Pla2g2
mBotaC,Pla2g2
mBibiC,Pla2g2
mCahiC,Pla2g2
mCaluC,Pla2g2
mDanoC,Pla2g2
mEnluC,Pla2g2
mEqcaC,Pla2g2
mEreuC,Pla2g2
mLoafC,Pla2g2
mMimuC,Pla2g2
mMumuC,Pla2g2
mMupuC,Pla2g2
mMyluC,Pla2g2
mOcprC,Pla2g2
mOdviC,Pla2g2
mOrcuC,Pla2g2
mOrorC,Pla2g2
mOvarC,Pla2g2
mPahoC,Pla2g2
mPatiC,Pla2g2
mPtvaC,Pla2g2
mSoarC,Pla2g2
mTrmaC,Pla2g2
mUrmaC,Pla2g2
mAimeC,Pla2g2
mAifuC,Pla2g2
bAncyE,Pla2g2
bAnplE,Pla2g2
bApfoE,Pla2g2
bBareE,Pla2g2
bChmaE,Pla2g2
bCocoE,Pla2g2
bGagaE,Pla2g2
bOphoE,Pla2g2
bPskrE,Pla2g2
bSecoE,Pla2g2
bStocE,Pla2g2
cAlmiE,Pla2g2
cAlsiE,Pla2g2
cCrpoE,Pla2g2
cGavganE,Pla2g2
cGoagE,Pla2g2
cPesiE,Pla2g2
mOranE,Pla2g2
mModoE,Pla2g2
mPhciE,Pla2g2
mSahaE,Pla2g2
mAifuE,Pla2g2
mAimeE,Pla2g2
mBibiE,Pla2g2
mBotaE,Pla2g2
mCahiE,Pla2g2
mCaluE,Pla2g2
mChlaE,Pla2g2
mCocrE,Pla2g2
mEledE,Pla2g2
mEnluE,Pla2g2
mEqcaE,Pla2g2
mEreuE,Pla2g2
mFecaE,Pla2g2
mHeglE,Pla2g2
mHosaE,Pla2g2
mLoafE,Pla2g2
mMamaE,Pla2g2
mMimuE,Pla2g2
mMumuE,Pla2g2
mMupuE,Pla2g2
mMyluE,Pla2g2
mNescE,Pla2g2
mOcprE,Pla2g2
mOdviE,Pla2g2
mOrcuE,Pla2g2
mOrorE,Pla2g2
mPahoE,Pla2g2
mPatiE,Pla2g2
mPtvaE,Pla2g2
mSoarE,Pla2g2
mTrmaE,Pla2g2
sLabiE,Pla2g2
sLaviE,Pla2g2
sOpgrE,Pla2g2
sPapiE,Pla2g2
sPoviE,Pla2g2
sBocoE,Pla2g2
sPybiE,Pla2g2
sNoscE,Pla2g2
sPsteE,Pla2g2
sOphaE,Pla2g2
sCradE,Pla2g2
sCratE,Pla2g2
sCrheAE,Pla2g2
sCrheBE,Pla2g2
sCrhoBE,Pla2g2
sCrscAE,Pla2g2
sCrscBE,Pla2g2
sDeacE,Pla2g2
sPrflE,Pla2g2
sPrmuE,Pla2g2
sVibeEa,Pla2g2
cChmyF,Pla2g2
cGoagF,Pla2g2
cChpiF,Pla2g2
cPesiF,Pla2g2
mOranF,Pla2g2
mModoF,Pla2g2
mPhciF,Pla2g2
mSahaF,Pla2g2
mAifuF,Pla2g2
mAimeF,Pla2g2
mBibiF,Pla2g2
mBotaF,Pla2g2
mCahiF,Pla2g2
mCaluF,Pla2g2
mChlaF,Pla2g2
mCocrF,Pla2g2
mEledF,Pla2g2
mEnluF,Pla2g2
mEqcaF,Pla2g2
mEreuF,Pla2g2
mFecaF,Pla2g2
mHeglF,Pla2g2
mHosaF,Pla2g2
mLoafF,Pla2g2
mMamaF,Pla2g2
mMimuF,Pla2g2
mMumuF,Pla2g2
mMupuF,Pla2g2
mMyluF,Pla2g2
mNescF,Pla2g2
mOcprF,Pla2g2
mOdviF,Pla2g2
mOrcuF,Pla2g2
mOvarF,Pla2g2
mPahoF,Pla2g2
mPatiF,Pla2g2
mPtvaF,Pla2g2
mSoarF,Pla2g2
mTrmaF,Pla2g2
mDanoF,Pla2g2
sLabiF,Pla2g2
sLaviF,Pla2g2
sOpgrF,Pla2g2
sPapiF,Pla2g2
sPoviF,Pla2g2
sBocoF,Pla2g2
sPybiF,Pla2g2
sNoscF,Pla2g2
sPsteF,Pla2g2
sOphaF,Pla2g2
sCradF,Pla2g2
sCratF,Pla2g2
sCrheAF,Pla2g2
sCrheBF,Pla2g2
sCrhoAF,Pla2g2
sCrhoBF,Pla2g2
sCrscAF,Pla2g2
sCrscBF,Pla2g2
sDeacF,Pla2g2
sPrmuF,Pla2g2
sVibeF,Pla2g2
bAncyB,Pla2g2
bAnplB,Pla2g2
bApfoB,Pla2g2
bAqchB,Pla2g2
bBareB,Pla2g2
bChmaB,Pla2g2
bCucaB,Pla2g2
bGagaB,Pla2g2
bHaleB,Pla2g2
bNaauB,Pla2g2
bPafaB,Pla2g2
bPskrB,Pla2g2
bPyadB,Pla2g2
bStocB,Pla2g2
bUrpeB,Pla2g2
mOran3,Pla2g2
mPhciV1,Pla2g2
mModoV1,Pla2g2
mModoV2,Pla2g2
mPhciV2,Pla2g2
mPhciV3,Pla2g2
mSahaV1,Pla2g2
mSahaV2,Pla2g2
mSahaV4,Pla2g2
mSahaV5,Pla2g2
mAifuV,Pla2g2
mChlaV,Pla2g2
mEnluV,Pla2g2
mHeglV,Pla2g2
mLoafV,Pla2g2
mMumuV,Pla2g2
mMupuV,Pla2g2
mMyluV,Pla2g2
mPtvaV,Pla2g2
mSoarV,Pla2g2
mMimuV,Pla2g2
mOrorV,Pla2g2
mBotaV,Pla2g2
mCahiV,Pla2g2
mCaluV,Pla2g2
mCocrV,Pla2g2
mDanoV,Pla2g2
mEledV,Pla2g2
mEqcaV,Pla2g2
mEreuV,Pla2g2
mFecaV,Pla2g2
mHosaV,Pla2g2
mMamaV,Pla2g2
mNescV,Pla2g2
mOcprV,Pla2g2
mOdviV,Pla2g2
mOrcuV,Pla2g2
mPahoV,Pla2g2
mPatiV,Pla2g2
mTrmaV,Pla2g2
mUrmaV,Pla2g2
mDanoA,Pla2g2
mOrcuA2,Pla2g2
mChlaA3,Pla2g2
mChlaA4,Pla2g2
mHeglA2,Pla2g2
mHeglA3,Pla2g2
mMimuA,Pla2g2
mMumuA,Pla2g2
mOcprA1,Pla2g2
mEreuA7,Pla2g2
mBibiA3,Pla2g2
mBotaA,Pla2g2
mCocrA2,Pla2g2
mCocrA3,Pla2g2
mEledA3,Pla2g2
mEreuA10,Pla2g2
mEreuA11,Pla2g2
mEreuA12,Pla2g2
mEreuA13,Pla2g2
mEreuA14,Pla2g2
mEreuA15,Pla2g2
mEreuA2,Pla2g2
mEreuA3,Pla2g2
mEreuA5,Pla2g2
mEreuA6,Pla2g2
mEreuA8,Pla2g2
mEreuA9,Pla2g2
mHosaA,Pla2g2
mMamaA1,Pla2g2
mMyluA1,Pla2g2
mOcprA3,Pla2g2
mOdviA3,Pla2g2
mOrcuA4,Pla2g2
mSoarA2,Pla2g2
mSoarA3,Pla2g2
mBibiA2,Pla2g2
mBibiA4,Pla2g2
mBotaA2,Pla2g2
mBotaA3,Pla2g2
mBotaA5,Pla2g2
mCahiA,Pla2g2
mCahiA2,Pla2g2
mCahiA4,Pla2g2
mCahiA5,Pla2g2
mChlaA2,Pla2g2
mEledA1,Pla2g2
mEledA2,Pla2g2
mEqcaA,Pla2g2
mEreuA1,Pla2g2
mHeglA1,Pla2g2
mLoafA1,Pla2g2
mLoafA2,Pla2g2
mMyluA2,Pla2g2
mMyluA4,Pla2g2
mOcprA2,Pla2g2
mOdviA1,Pla2g2
mOdviA2,Pla2g2
mOrcuA1,Pla2g2
mOrcuA3,Pla2g2
mOvarA1,Pla2g2
mOvarA2,Pla2g2
mOvarA3,Pla2g2
mPahoA1,Pla2g2
mPahoA3,Pla2g2
mPahoA5,Pla2g2
mTrmaA2,Pla2g2
sBocoGo,Pla2g2
sDeacGc,Pla2g2
sOpgrGo,Pla2g2
sPapiGo,Pla2g2
sPoviGo,Pla2g2
sLabiGo,Pla2g2
sLaviGo,Pla2g2
sOphaGc,Pla2g2
sNoscGc,Pla2g2
sPsteGc,Pla2g2
sCradGc,Pla2g2
sCratGc,Pla2g2
sCrhoAGc1,Pla2g2
sCrhoBGc1,Pla2g2
sCrhoGc,Pla2g2
sCrscAGc1,Pla2g2
sCrscAGc2,Pla2g2
sCrscBGc2,Pla2g2
sCrheAGc1,Pla2g2
sPrflGck,Pla2g2
sPrmuGck,Pla2g2
sCratGk49,Pla2g2
sCrscBGk49,Pla2g2
sDeacGk49,Pla2g2
sPrmuGk49,Pla2g2
sPrflGk49,Pla2g2
sCradGa,Pla2g2
sCrscAGa1,Pla2g2
sCrheAGa1,Pla2g2
sCrhoAGa1,Pla2g2
sCratGa,Pla2g2
sCrheAGa2,Pla2g2
sCrheBGa1,Pla2g2
sCrhoAGa2,Pla2g2
sCrhoGa,Pla2g2
sCrscAGa2,Pla2g2
sCrscBGa1,Pla2g2
sDeacGa,Pla2g2
sPrmuGa1,Pla2g2
sPrmuGa2,Pla2g2
sVibeGa1,Pla2g2
sVibeGa2,Pla2g2
sVibeGa4,Pla2g2
sPrflGa1,Pla2g2
